age,monthly_income,gender,city,signup_date,last_purchase_amount,review_text,churn
25,45000,Male,New York,2022-01-15,120,"Great service, very happy!",0
34,62000,FEMALE,los angeles,2021/11/03,340,"delivery was late",1
45,,Female,Chicago,2020-06-22,560,"Excellent quality product",0
29,52000,male,New York,2022-03-10,75,"ok experience",0
52,150000,Male,Houston,2019-08-19,5000,"Too expensive for value",1
23,39000,Female,Chicago,2022-07-01,60,"loved it!!!",0
37,72000,M,,2021-05-14,410,"customer support was bad",1
41,68000,Female,Los Angeles,2020-12-30,390,"Very satisfied",0
120,50000,Male,Phoenix,2022-02-02,200,"strange age entry",1
31,58000,Female,New york,2021-09-17,310,"will buy again",0
48,82000,FEMALE,San Diego,2018-04-25,900,"Worst experience ever",1
35,61000,Male,Dallas,2021-06-11,330,"good but slow shipping",0
27,41000,,Austin,2022-08-09,95,"nice product",0
39,700000,Female,Seattle,2020-01-01,15000,"income seems wrong",1
22,36000,Male,Boston,2022-09-01,50,"cheap and useful",0
44,79000,FEMALE,Miami,2019-02-14,420,"support not helpful",1
33,56000,Male,Denver,2021-03-22,280,"average experience",0
55,98000,Female,San Jose,2018-10-05,1100,"too many issues",1
28,47000,male,New York,2022-04-12,130,"pretty good overall",0
61,105000,Male,Chicago,2017-07-19,2100,"stopped using it",1
36,65000,Female,San Diego,2020-05-27,360,"works as expected",0
42,73000,M,Los Angeles,2019-11-11,400,"not worth the price",1
26,42000,Female,Austin,2022-06-30,90,"happy with purchase",0
47,,Male,Dallas,2018-01-08,800,"delivery issues again",1
38,69000,FEMALE,Phoenix,2021-08-18,370,"satisfied",0
30,54000,Male,Seattle,2022-02-20,250,"good value",0
34,61000,Female,Boston,2021-10-10,310,"nothing special",0
58,115000,Male,Miami,2017-03-03,2500,"cancelled subscription",1
24,38000,Female,Denver,2022-07-19,70,"easy to use",0
46,85000,Male,San Jose,2019-09-09,950,"bugs everywhere",1
32,57000,FEMALE,New York,2021-12-12,290,"fast delivery",0
29,52000,male,New York,2022-03-10,75,"ok experience",0
51,99000,Male,Chicago,2018-06-16,1300,"too many problems",1
40,71000,Female,Los Angeles,2020-04-04,410,"quite reliable",0
27,43000,,Austin,2022-08-21,100,"looks nice",0
63,120000,Male,Houston,2016-11-11,3200,"retired from using",1
35,60000,Female,Dallas,2021-05-05,300,"satisfied overall",0
43,76000,FEMALE,Phoenix,2019-01-29,450,"not impressed",1
21,34000,Male,Boston,2022-09-15,40,"student friendly",0
49,88000,Female,Seattle,2018-08-08,980,"too costly",1
28,46000,Male,Denver,2022-06-01,110,"nice and smooth",0
56,102000,FEMALE,San Diego,2017-12-12,2700,"terrible support",1
31,55000,Male,New york,2021-09-09,260,"would recommend",0
45,81000,Female,Miami,2019-06-06,600,"some features missing",1
33,59000,Male,San Jose,2021-04-14,310,"works fine",0
60,130000,Male,Chicago,2016-02-02,5000,"left the platform",1
